,date,tweet,location
139,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",AFRIKA
140,2020-05-09,RT @SaiLifeSciences: We are delighted to join the @covid_moonshot project that aims to deliver an antiviral drug candidate effective agains…,UK
141,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Rustenburg, South Africa"
142,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",
143,2020-05-09,"RT @nareshpurohi: Every village should follow these all steps. 
#Covid_19india #COVID2019india #COVID19 #COVID19vaccine https://t.co/tF6IYA…","Mumbai, India"
144,2020-05-09,"RT @nareshpurohi: Every village should follow these all steps. 
#Covid_19india #COVID2019india #COVID19 #COVID19vaccine https://t.co/tF6IYA…","Vejalpur, Ahmadabad City"
145,2020-05-09,"RT @nareshpurohi: Every village should follow these all steps. 
#Covid_19india #COVID2019india #COVID19 #COVID19vaccine https://t.co/tF6IYA…","Ahmadabad City, India"
146,2020-05-09,"RT @pfizer: In 25+ years of developing #vaccines, Kathrin Jansen says she has never before seen researchers collaborate in this way to laun…",Spain
147,2020-05-09,"Every village should follow these all steps. 
#Covid_19india #COVID2019india #COVID19 #COVID19vaccine https://t.co/tF6IYAKkwG","Ahmadabad City, India"
148,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",South Africa
149,2020-05-09,RT @ketan72: Pune-based BJ Medical College (BJMC) &amp; Sassoon General Hospitals (SGH) will be the first in Maharashtra to conduct trials for…,"pune,India"
150,2020-05-09,RT @ketan72: Pune-based BJ Medical College (BJMC) &amp; Sassoon General Hospitals (SGH) will be the first in Maharashtra to conduct trials for…,"Pune, Maharashtra, India"
151,2020-05-09,Pune-based BJ Medical College (BJMC) &amp; Sassoon General Hospitals (SGH) will be the first in Maharashtra to conduct… https://t.co/OnCWwgUx3A,India
152,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Durban, South Africa"
153,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…",
154,2020-05-09,"RT @SakmenSA: #MadagascarMedicine
In #SouthAfrica We Call It #Lengana
This Has Been Used For More Than Decades In Our Family To Fight Colds…","Johannesburg, South Africa"
155,2020-05-09,RT @SaiLifeSciences: We are delighted to join the @covid_moonshot project that aims to deliver an antiviral drug candidate effective agains…,"North West, England"
